,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Ene,54.20000000000002,58.0,58.20000000000002,60.20000000000002,59.0,55.30000000000001,51.30000000000001,45.30000000000001,42.0,44.0,48.70000000000002,53.0,56.900000000000006,58.0,60.5,61.70000000000002,59.80000000000001,55.0,49.60000000000002,47.30000000000001,46.60000000000002,48.30000000000001,52.60000000000002,52.0
Feb,60.20000000000002,62.20000000000002,61.0,63.0,61.0,59.0,52.0,48.20000000000002,40.0,45.30000000000001,53.599999999999994,59.900000000000006,64.80000000000001,68.0,73.6,73.0,76.0,73.0,62.0,60.0,58.0,59.0,57.099999999999994,57.0
Mar,82.0,82.0,83.0,81.0,81.0,78.70000000000002,72.0,64.70000000000002,63.70000000000002,65.0,72.0,76.20000000000002,79.4,83.40000000000003,88.0,88.0,90.0,87.0,84.6,81.6,80.0,81.0,80.0,78.0
Abr,85.0,84.0,84.70000000000002,82.0,79.0,74.9,69.9,66.0,64.70000000000002,70.0,73.4,82.0,91.0,94.0,97.0,101.0,100.0,100.80000000000001,97.0,93.0,89.80000000000001,88.0,86.0,85.0
May,79.0,77.0,71.0,71.30000000000001,70.0,67.30000000000001,63.60000000000002,54.0,57.30000000000001,66.6,73.1,80.80000000000001,87.0,90.0,94.0,97.0,96.60000000000002,95.0,94.0,91.0,88.30000000000001,84.60000000000002,81.60000000000002,81.0
Jun,80.80000000000001,78.80000000000001,77.0,76.60000000000002,76.80000000000001,68.9,63.900000000000006,56.900000000000006,61.900000000000006,71.0,78.9,88.70000000000002,96.40000000000003,95.30000000000001,99.20000000000002,101.60000000000002,101.0,98.79999999999998,95.0,93.0,89.5,88.0,84.0,82.0
Jul,76.0,77.20000000000002,71.0,69.29999999999998,69.19999999999999,63.0,58.0,55.0,56.60000000000002,68.80000000000001,78.10000000000005,84.70000000000002,92.0,94.0,95.0,94.0,94.19999999999999,92.0,88.0,82.0,78.0,78.1,77.1,76.0
Ago,77.0,76.0,73.6,73.19999999999999,71.0,69.0,64.0,57.0,61.0,69.0,80.1,86.0,94.0,100.6,106.0,102.6,103.0,97.0,94.0,90.0,86.5,85.5,85.0,81.0
Sep,69.4,70.0,68.0,66.0,63.0,60.0,55.0,50.0,49.0,52.400000000000006,63.0,70.0,76.0,83.0,84.5,90.0,89.0,86.30000000000001,83.30000000000001,77.0,73.0,72.0,73.0,72.0
Oct,60.0,61.0,61.0,60.5,61.5,57.5,56.5,47.0,43.0,43.0,53.20000000000002,59.0,67.0,70.0,75.70000000000002,80.70000000000002,80.0,76.0,71.5,68.0,64.5,64.0,64.0,63.0
Nov,50.099999999999994,52.0,52.099999999999994,53.099999999999994,53.19999999999999,53.0,49.19999999999999,43.0,39.20000000000002,43.5,49.0,53.0,55.900000000000006,59.0,62.0,61.60000000000005,62.0,55.0,50.099999999999994,50.0,46.19999999999999,45.099999999999994,49.0,50.099999999999994
Dic,49.0,52.0,52.0,53.0,53.0,52.0,49.0,46.0,40.0,42.0,43.60000000000002,46.0,48.30000000000001,52.0,56.099999999999994,57.900000000000006,55.60000000000002,49.599999999999994,46.0,41.0,41.79999999999998,44.0,46.0,48.19999999999999
