,2020,2021,2022,2023,2024,2025
Ene,19.513513513513512,28.774814814814814,24.246630727762803,27.836486486486486,25.233766233766232,36.75271739130435
Feb,27.018813314037626,35.79352850539291,35.62985074626866,34.998493975903614,35.339595375722546,39.85369532428356
Mar,53.53116531165312,45.880434782608695,57.886178861788615,51.51219512195122,54.148448043184885,59.994310099573255
Abr,63.03244005641749,59.85942028985507,52.44070512820513,56.95798319327731,63.31486880466473,68.04125177809388
May,50.296495956873315,51.78765060240964,46.395209580838326,52.672554347826086,60.833333333333336,72.51244509516837
Jun,46.44475524475524,54.56703910614525,49.831205673758866,59.050898203592816,58.425632911392405,75.35755813953489
Jul,48.9349593495935,53.65428571428571,55.464864864864865,48.60631001371742,52.10674157303371,73.25931677018633
Ago,47.92048517520216,51.19189189189189,61.255405405405405,55.488466757123476,68.20027063599458,71.88630136986302
Sep,43.34309623430963,49.12133891213389,48.029895366218234,54.990264255910986,57.20675105485232,52.66947960618847
Oct,31.592944369063773,36.38918918918919,34.58108108108108,46.69241192411924,45.63858695652174,44.81436314363144
Nov,23.21180030257186,25.355742296918766,25.88205980066445,32.15308988764045,33.40112994350282,35.46356589147287
Dic,25.039348710990502,23.021709633649934,16.975476839237057,24.849719101123597,26.478319783197833,30.690637720488468
