hour,count,mean,median,std,q25,q75,p95,max
0,2141,42.17655301261093,45.0,24.812128317903873,23.0,60.0,81.0,117.0
1,2135,42.30772833723653,44.0,24.08492883219971,25.0,60.0,80.0,115.0
2,2134,41.037488284910964,43.0,23.540062716848855,23.25,58.0,79.0,108.0
3,2141,40.125175151798224,42.0,23.401378394773676,23.0,57.0,78.0,105.0
4,2140,39.74626168224299,42.5,23.259288312356333,22.0,56.0,77.0,101.0
5,2136,37.43913857677903,40.0,22.575297768309955,19.0,54.0,73.0,101.0
6,2136,32.53558052434457,34.0,21.610684492930716,13.0,48.0,68.0,102.0
7,2135,26.26838407494145,25.0,19.955470765197816,7.0,41.0,62.0,102.0
8,2129,26.113198684828557,23.0,19.859583668718,8.0,41.0,62.0,101.0
9,2108,32.44924098671727,32.0,20.830725189148552,15.0,46.0,69.0,105.0
10,2064,40.34011627906977,40.0,21.233042486857894,24.0,54.0,76.0,113.0
11,2053,47.47442766682903,47.0,21.247587954524114,33.0,61.0,83.39999999999986,133.0
12,2050,53.585853658536585,54.0,21.806677439373917,39.0,68.0,91.0,140.0
13,2080,58.059615384615384,59.0,22.30654213189087,42.0,73.0,94.0,152.0
14,2101,62.121370775821035,63.0,22.193650426708455,47.0,77.0,97.0,167.0
15,2115,64.89881796690307,66.0,22.430427990389145,50.0,80.0,100.0,147.0
16,2134,63.303655107778816,65.0,23.526837091307804,48.0,80.0,99.0,141.0
17,2143,59.48903406439571,62.0,25.005223472051995,43.0,77.0,97.0,146.0
18,2145,55.16456876456876,58.0,26.04574860051886,38.0,74.0,93.0,137.0
19,2145,50.86433566433566,54.0,26.237288337217,33.0,70.0,90.0,136.0
20,2144,47.50839552238806,51.0,25.88230160892137,29.0,67.0,86.84999999999991,135.0
21,2145,46.08251748251748,50.0,25.7749697294652,27.0,65.0,85.0,121.0
22,2145,45.22797202797203,49.0,25.515592994430396,27.0,64.0,84.0,120.0
23,2143,43.52776481567896,47.0,25.04393989172639,24.0,62.0,82.0,111.0
