,count,mean,median,std,q25,q75,p95,max
Ene,4249,27.076253236055543,26.0,19.76366540719536,8.0,43.0,60.59999999999991,83.0
Feb,4029,34.72052618515761,37.0,22.48202035950076,15.0,52.0,70.0,94.0
Mar,4394,53.78015475648612,57.0,23.25777532884771,40.0,71.0,86.0,118.0
Abr,4126,60.749151720794956,66.0,25.053394481343695,47.0,78.0,96.0,116.0
May,4219,55.73761554870823,58.0,24.34143752825169,40.0,73.0,93.0,118.0
Jun,4124,57.135305528612996,59.0,23.886883256987904,41.0,73.0,95.0,146.0
Jul,4263,54.99155524278677,55.0,22.601072303335858,41.0,69.0,92.0,167.0
Ago,4428,59.290876242095756,59.0,23.571370800967006,44.0,75.0,97.0,141.0
Sep,4244,50.916352497643736,52.0,20.803680992932062,38.0,66.0,83.0,119.0
Oct,4429,39.946714834048315,42.0,21.81277308632801,23.0,56.0,74.0,111.0
Nov,4042,29.30306778822365,30.0,18.525648144887583,13.0,44.0,59.0,90.0
Dic,4395,24.512855517633675,23.0,18.95092255164163,6.0,39.0,57.0,82.0
