horizon,anchor_horizon,selected_config_id,selected_iterations,n_features,n_train,n_calibration,n_validation,n_test,q_hat,q_level,validation_mae,validation_rmse,validation_coverage,validation_width,validation_interval_score,test_mae,test_rmse,test_coverage,test_width,test_interval_score,model_path
1,1,base,345,21,25516,8607,8437,8381,0.5952297176076371,0.8001626583013826,6.171075310148833,8.602942364477313,0.8025364466042432,19.73550526314065,29.626186967025816,6.916341229554572,9.72747976571734,0.77079107505071,20.280968749474994,33.9466988256324,models\catboost_cqr_horizon_extension\catboost_multiquantile_h01.joblib
2,1,base,345,21,25515,8607,8437,8381,1.1402024552561323,0.8001626583013826,8.863914729892965,11.894279449019791,0.8006400379281735,28.37705333054688,40.55019720541849,9.983827926411319,13.396918065024579,0.7589786421668059,29.004183040267847,46.905590043655515,models\catboost_cqr_horizon_extension\catboost_multiquantile_h02.joblib
3,4,base,276,21,25514,8607,8437,8381,1.2155355131894963,0.8001626583013826,10.384906135327512,13.602140153169838,0.7983880526253407,33.274930677793456,46.13846532210164,11.677152868838164,15.356552031721302,0.75492184703496,34.30819624776649,53.24884782483763,models\catboost_cqr_horizon_extension\catboost_multiquantile_h03.joblib
4,4,base,276,21,25513,8607,8437,8381,1.396580399114434,0.8001626583013826,11.338907516701054,14.65000090667702,0.7903283157520445,35.8441941604629,49.701224800933915,12.9218103921481,16.64760511396279,0.7329674263214414,36.48960905804951,58.456629741625264,models\catboost_cqr_horizon_extension\catboost_multiquantile_h04.joblib
5,4,base,276,21,25512,8607,8437,8381,1.5383344490438304,0.8001626583013826,11.960554131734407,15.36665185969327,0.789143060329501,37.8153177592844,52.110162690813965,13.708610318332608,17.509045082365624,0.7248538360577497,38.409388431068066,61.748593989832905,models\catboost_cqr_horizon_extension\catboost_multiquantile_h05.joblib
6,4,base,276,21,25511,8607,8437,8381,1.4052796535747802,0.8001626583013826,12.341065213863526,15.836339637197911,0.7851131918928529,38.87018801320827,53.947105273055435,14.28538591133971,18.127450117090927,0.7161436582746689,39.37809955766082,64.9266744835028,models\catboost_cqr_horizon_extension\catboost_multiquantile_h06.joblib
7,4,base,276,21,25510,8607,8437,8381,1.6444737053037883,0.8001626583013826,12.654906287478623,16.17737455737767,0.7886689581604835,40.04578451007696,55.147110068602714,14.71257358377729,18.628232756829263,0.7197231833910035,40.95431997401854,66.45116367721242,models\catboost_cqr_horizon_extension\catboost_multiquantile_h07.joblib
8,4,base,276,21,25509,8607,8437,8381,1.7749989837291373,0.8001626583013826,12.875055342145567,16.40882250539123,0.7900912646675359,40.73097792179724,55.85781440720501,14.92428926406129,18.855753077655322,0.7186493258561031,41.59940792517861,67.13704006030257,models\catboost_cqr_horizon_extension\catboost_multiquantile_h08.joblib
9,12,regularized,475,21,25508,8607,8437,8381,2.0936080478000676,0.8001626583013826,13.056530452149063,16.620612553837276,0.7915135711745881,40.7706578550791,56.49326095469349,15.177100206084184,19.15510481290856,0.7063596229566877,40.68104680161791,68.62987006513983,models\catboost_cqr_horizon_extension\catboost_multiquantile_h09.joblib
10,12,regularized,475,21,25507,8607,8437,8381,2.2513221575501063,0.8001626583013826,13.159858993257858,16.702187559749717,0.789143060329501,41.23481243317385,56.95399662936793,15.351788055447127,19.344003413865906,0.7056437179334208,41.37481334378874,69.1722224167496,models\catboost_cqr_horizon_extension\catboost_multiquantile_h10.joblib
11,12,regularized,475,21,25506,8607,8437,8381,2.2063786844321953,0.8001626583013826,13.258182233280925,16.851207353980975,0.7945952352732014,41.694417318765005,57.37244750647895,15.380252041050607,19.409498173658218,0.7070755279799547,41.78544551491537,69.51582749579963,models\catboost_cqr_horizon_extension\catboost_multiquantile_h11.joblib
12,12,regularized,475,20,25505,8607,8437,8381,2.2859993303623156,0.8001626583013826,13.371464085217532,16.932400123805774,0.7951878629844732,41.980869593902895,57.325051973877905,15.482203613757177,19.468060499363766,0.6997971602434077,41.77218767364038,70.33385680147809,models\catboost_cqr_horizon_extension\catboost_multiquantile_h12.joblib
